HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
A,02.01,A:02.01,0.795479110181121,0.915420483861833,0.53-1.57,0.905022154051477,0.0321753300048153,0.269656698351304,32,0.134,37,0.145,206,218,35,441,37,473,0.0735,0.0725,0.139959432048682,493
DRB5,01.08N,DRB5:01.08N,1,1.05872936411637,0.195-5.75,0.907433344279028,-0.0842852144491282,0.724868350444926,4,0.0165,4,0.0156,238,252,4,480,4,508,0.00826,0.00781,0.0160642570281124,498
B,39.01,B:39.01,1,1,0.365-2.74,0.910136879623553,0.051957828445334,0.460350143151331,10,0.0435,10,0.0435,220,220,10,450,12,448,0.0217,0.0261,0.0434782608695652,460
B,48.01,B:48.01,1,1,0.321-3.12,0.911750515559204,0.0570998929753475,0.515198748741838,8,0.0348,8,0.0348,222,222,8,452,8,452,0.0174,0.0174,0.0347826086956522,460
B,54.01,B:54.01,1,1,0.443-2.26,0.914391857443941,0.0413383952891493,0.384541102210037,15,0.0652,15,0.0652,215,215,16,444,15,445,0.0348,0.0326,0.0652173913043478,460
DQB1,05.02,DQB1:05.02,0.738824686532018,1.09999665073685,0.695-1.74,0.920637956978987,0.023372588412707,0.234593529212121,52,0.215,50,0.199,190,201,61,423,54,448,0.126,0.108,0.206896551724138,493
B,55.02,B:55.02,1,1,0.401-2.49,0.922008971610254,0.0412791602038979,0.421631373883466,12,0.0522,12,0.0522,218,218,12,448,12,448,0.0261,0.0261,0.0521739130434783,460
C,12.02,C:12.02,1,1.01763643414688,0.524-1.97,0.929596214586451,0.0292283623407297,0.33081393384061,22,0.0913,23,0.0898,219,233,24,458,23,489,0.0498,0.0449,0.0905432595573441,497
DRB1,01.01,DRB1:01.01,0.822340690706905,0.872971979129419,0.313-2.37,0.929909799559432,0.0417373339810558,0.474512605736027,9,0.0385,11,0.0438,225,240,9,459,11,491,0.0192,0.0219,0.0412371134020619,485
DRB1,07.01,DRB1:07.01,0.873664499475487,0.926624595121378,0.468-1.82,0.938393613809944,0.025298325999882,0.327321023986397,20,0.0855,23,0.0916,214,228,20,448,24,478,0.0427,0.0478,0.088659793814433,485
DPA1,04.01,DPA1:04.01,1,1.06879361608727,0.43-2.66,0.963373723732692,-0.0194184410400498,0.422872112632834,12,0.0492,12,0.0462,232,248,12,476,12,508,0.0246,0.0231,0.0476190476190476,504
C,14.02,C:14.02,0.595264273516171,0.864001599575483,0.491-1.51,0.966858451697702,-0.0116492482885485,0.280375609240053,29,0.12,35,0.137,212,221,30,452,36,476,0.0622,0.0703,0.128772635814889,497
DRB1,13.02,DRB1:13.02,0.686956217706158,0.835351645861724,0.335-2.03,0.967550727504316,0.0175251574181569,0.430801545737634,11,0.047,14,0.0558,223,237,13,455,14,488,0.0278,0.0279,0.0515463917525773,485
DRB1,13.12,DRB1:13.12,1,1.07405051819352,0.244-4.73,0.97171693803994,-0.0229186048034641,0.646414115406072,5,0.0214,5,0.0199,229,246,5,463,5,497,0.0107,0.00996,0.0206185567010309,485
DRB1,08.02,DRB1:08.02,1,0.89176954916416,0.212-3.56,0.971761552694075,0.0223008005979887,0.629983258483386,5,0.0214,6,0.0239,229,245,5,463,6,496,0.0107,0.012,0.022680412371134,485
DQA1,02.01,DQA1:02.01,0.873381522315703,0.909274708583875,0.459-1.79,0.972794337055125,0.0111582143820963,0.327183406669382,20,0.0833,23,0.0909,220,230,20,460,24,482,0.0417,0.0474,0.0872210953346856,493
B,08.01,B:08.01,0.248366013071895,0,0-2.41,0.977105424852594,-14.3627734523763,500.479362417268,0,0,3,0.013,230,227,0,460,3,457,0,0.00652,0.00652173913043478,460
B,67.01,B:67.01,0.0302354572530914,Inf,1.19-Inf,0.978903225239686,15.6867043077097,593.205394951014,6,0.0261,0,0,224,230,6,454,0,460,0.013,0,0.0130434782608696,460
DPB1,48.01,DPB1:48.01,0.482828282828283,Inf,0.0275-Inf,0.979251258427203,13.924773013514,535.411219363498,1,0.00418,0,0,238,256,1,477,0,512,0.00209,0,0.00202020202020202,495
DQA1,05.06,DQA1:05.06,0.486815415821501,Inf,0.027-Inf,0.979568189333665,13.7120288609193,535.411200459912,1,0.00417,0,0,239,253,1,479,0,506,0.00208,0,0.00202839756592292,493
DPB1,31.01,DPB1:31.01,0.482828282828283,Inf,0.0275-Inf,0.979698046925786,13.6248608417028,535.411193199362,1,0.00418,0,0,238,256,1,477,0,512,0.00209,0,0.00202020202020202,495
A,34.01,A:34.01,0.482758620689655,Inf,0.0275-Inf,0.979924067463006,13.4731439966899,535.411200745198,1,0.0042,0,0,237,255,1,475,0,510,0.0021,0,0.00202839756592292,493
B,55.04,B:55.04,1,Inf,0.0256-Inf,0.979946793935054,13.4578887964756,535.411199139642,1,0.00435,0,0,229,230,1,459,0,460,0.00217,0,0.00217391304347826,460
B,81.02,B:81.02,1,0,0-39,0.979955924094185,-13.4517598271827,535.411185334357,0,0,1,0.00435,230,229,0,460,1,459,0,0.00217,0.00217391304347826,460
B,15.21,B:15.21,1,Inf,0.0256-Inf,0.979973015077969,13.4402879560588,535.411203362966,1,0.00435,0,0,229,230,1,459,0,460,0.00217,0,0.00217391304347826,460
B,15.27,B:15.27,1,Inf,0.0256-Inf,0.979976035171265,13.4382613562996,535.41122875997,1,0.00435,0,0,229,230,1,459,0,460,0.00217,0,0.00217391304347826,460
B,15.17,B:15.17,1,0,0-39,0.979981460883604,-13.434619250909,535.411224891731,0,0,1,0.00435,230,229,0,460,1,459,0,0.00217,0.00217391304347826,460
C,07.01,C:07.01,1,0,0-41.4,0.980055214371652,-13.3851121937353,535.411220694327,0,0,1,0.00391,241,255,0,482,1,511,0,0.00195,0.00201207243460765,497
C,08.22,C:08.22,1,0,0-41.4,0.980091060539501,-13.3610495957748,535.411183163582,0,0,1,0.00391,241,255,0,482,1,511,0,0.00195,0.00201207243460765,497
B,38.01,B:38.01,1,0,0-39,0.980886243955863,-12.8272947326527,535.411323814258,0,0,1,0.00435,230,229,0,460,1,459,0,0.00217,0.00217391304347826,460
DRB1,04.04,DRB1:04.04,0.0619778464394833,0,0-1.16,0.981005826441796,-15.4694512872382,649.760853573009,0,0,5,0.0199,234,246,0,468,5,497,0,0.00996,0.0103092783505155,485
B,48.03,B:48.03,0.498910675381264,0,0-5.32,0.981082619207261,-14.8005924628402,624.190940500182,0,0,2,0.0087,230,228,0,460,2,458,0,0.00435,0.00434782608695652,460
B,15.07,B:15.07,0.498910675381264,Inf,0.188-Inf,0.981320219857008,14.6050320319702,623.779554681913,2,0.0087,0,0,228,230,2,458,0,460,0.00435,0,0.00434782608695652,460
C,08.03,C:08.03,0.499448302719543,0,0-5.65,0.981689127443424,-14.3194518514881,623.906180856943,0,0,2,0.00781,241,254,0,482,2,510,0,0.00391,0.00402414486921529,497
DQB1,06.10,DQB1:06.10,1,1.03727811122741,0.0132-81.7,0.983380714098799,0.0296902039382258,1.42531047221002,1,0.00413,1,0.00398,241,250,1,483,1,501,0.00207,0.00199,0.00405679513184584,493
B,15.18,B:15.18,1,1,0.227-4.41,0.984080075100099,-0.0129191977442007,0.647449311471793,5,0.0217,5,0.0217,225,225,5,455,5,455,0.0109,0.0109,0.0217391304347826,460
DPB1,135.0,DPB1:135.0,1,1.07185383133247,0.142-8.08,0.989085726147359,0.011338315700529,0.82885815647869,3,0.0126,3,0.0117,236,253,3,475,3,509,0.00628,0.00586,0.0121212121212121,495
DRB1,14.05,DRB1:14.05,1,0.989625552324727,0.403-2.41,0.991443571418305,0.00444595001071326,0.414575642660682,12,0.0513,13,0.0518,222,238,12,456,14,488,0.0256,0.0279,0.0515463917525773,485
B,27.04,B:27.04,1,1.14766025219792,0.357-3.79,0.997525971881262,-0.00165013839572381,0.532175778187361,8,0.0348,7,0.0304,222,223,8,452,7,453,0.0174,0.0152,0.0326086956521739,460
