HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
DRB1,03.01,DRB1:03.01,0.475728296389764,1.31037198172326,0.607-2.87,0.308858183646805,0.390843915498687,0.384076173955182,18,0.0769,15,0.0598,216,236,18,450,15,487,0.0385,0.0299,0.0680412371134021,485
B,51.01,B:51.01,0.766740810001177,1.14129603983531,0.611-2.14,0.315806589336937,0.315495989512188,0.314517058498183,27,0.117,24,0.104,203,206,28,432,25,435,0.0609,0.0543,0.110869565217391,460
DRB1,09.01,DRB1:09.01,0.484682686157501,0.867129765549131,0.573-1.31,0.318179640729576,-0.204565087516327,0.204932805930793,64,0.274,76,0.303,170,175,67,401,81,421,0.143,0.161,0.288659793814433,485
DQB1,05.03,DQB1:05.03,0.37081513603981,1.36107609264102,0.726-2.58,0.323342426941082,0.2986046263773,0.302349964897041,28,0.116,22,0.0876,214,229,28,456,23,479,0.0579,0.0458,0.101419878296146,493
A,02.07,A:02.07,0.913250868746891,0.969208759612964,0.616-1.52,0.332792362894308,-0.226776734029316,0.234151397874285,51,0.214,56,0.22,187,199,54,422,59,451,0.113,0.116,0.217038539553753,493
B,15.12,B:15.12,0.623360649876289,3.01993954466564,0.24-159,0.338780039560025,1.11032856485215,1.16072915334967,3,0.013,1,0.00435,227,229,3,457,1,459,0.00652,0.00217,0.00869565217391304,460
B,56.01,B:56.01,0.623360649876289,3.01993954466564,0.24-159,0.364605974836093,1.05696431953258,1.16582508378458,3,0.013,1,0.00435,227,229,3,457,1,459,0.00652,0.00217,0.00869565217391304,460
B,38.02,B:38.02,0.359719850261117,1.50176761778312,0.684-3.4,0.365330973163815,0.34200976061945,0.377805406715464,19,0.0826,13,0.0565,211,217,19,441,14,446,0.0413,0.0304,0.0695652173913044,460
A,30.01,A:30.01,0.298680459227416,0.526414299840013,0.139-1.72,0.370563759634345,-0.50368798161508,0.562517241452672,5,0.021,10,0.0392,233,245,5,471,10,500,0.0105,0.0196,0.0304259634888438,493
A,11.01,A:11.01,0.168889233105631,1.30683616902595,0.898-1.9,0.373472618088884,0.174036542487863,0.195549431634468,105,0.441,96,0.376,133,159,123,353,117,393,0.258,0.229,0.407707910750507,493
DQA1,05.01,DQA1:05.01,0.722688904150651,1.20056459779678,0.562-2.58,0.376068379284456,0.335752518563818,0.379311240436925,18,0.075,16,0.0632,222,237,18,462,16,490,0.0375,0.0316,0.0689655172413793,493
DQB1,03.03,DQB1:03.03,0.557248604742025,0.886294436423422,0.592-1.33,0.381450244510569,-0.17502142246505,0.199972536803604,70,0.289,79,0.315,172,172,75,409,86,416,0.155,0.171,0.302231237322515,493
DQA1,01.01,DQA1:01.01,0.366229177208533,0.784271518038427,0.452-1.35,0.384971716181724,-0.234412583410335,0.269820524753853,30,0.125,39,0.154,210,214,34,446,39,467,0.0708,0.0771,0.139959432048682,493
DQB1,06.01,DQB1:06.01,0.530191743619127,0.861800367670021,0.559-1.33,0.39066937099002,-0.183097947267102,0.213300413878349,56,0.231,65,0.259,186,186,60,424,68,434,0.124,0.135,0.245436105476673,493
DQA1,06.01,DQA1:06.01,0.352089470969961,1.25536469976927,0.774-2.04,0.392431577376228,0.210298842967962,0.2459014351373,48,0.2,42,0.166,192,211,53,427,43,463,0.11,0.085,0.182555780933063,493
DRB3,01.01,DRB3:01.01,0.609248853400945,1.19669241127471,0.573-2.52,0.410879321568851,0.296133371478921,0.360107472972783,19,0.0779,17,0.0659,225,241,20,468,17,499,0.041,0.0329,0.0717131474103586,502
DRB5,00.00,DRB5:00.00,0.338909192926243,0.65148085503788,0.277-1.48,0.411226236937897,-0.323705429838742,0.393927961392254,225,0.93,244,0.953,17,12,383,101,409,103,0.791,0.799,0.941767068273092,498
C,07.04,C:07.04,0.492709785152341,1.78465700989755,0.343-11.6,0.413958441470927,0.606206265220188,0.742038232200892,5,0.0207,3,0.0117,236,253,5,477,3,509,0.0104,0.00586,0.0160965794768612,497
DPB1,09.01,DPB1:09.01,0.687601555613173,1.26457917766433,0.53-3.06,0.415848926737693,0.345436225349816,0.424554507392264,14,0.0586,12,0.0469,225,244,15,463,12,500,0.0314,0.0234,0.0525252525252525,495
B,13.02,B:13.02,0.416650856972871,0.546384351521311,0.142-1.85,0.416208211090846,-0.46603860714398,0.573221109528744,5,0.0217,9,0.0391,225,221,5,455,9,451,0.0109,0.0196,0.0304347826086957,460
B,37.01,B:37.01,0.724155965854378,1.67960926911821,0.322-10.9,0.417050697194889,0.60138596300987,0.741035060216184,5,0.0217,3,0.013,225,227,5,455,3,457,0.0109,0.00652,0.0173913043478261,460
DPB1,02.01,DPB1:02.01,0.634058492576014,1.10874127372231,0.75-1.64,0.424727698243149,0.157968709868358,0.197894750387925,83,0.347,83,0.324,156,173,97,381,88,424,0.203,0.172,0.335353535353535,495
DRB1,08.09,DRB1:08.09,0.624374134754004,0.355508915543417,0.00674-4.46,0.425361910481873,-0.934257506482102,1.17199203355289,1,0.00427,3,0.012,233,248,1,467,3,499,0.00214,0.00598,0.00824742268041237,485
B,40.01,B:40.01,0.42199104844999,1.23436226692299,0.767-1.99,0.4268712519152,0.191692147072158,0.24125664001257,52,0.226,44,0.191,178,186,55,405,53,407,0.12,0.115,0.208695652173913,460
DQB1,02.01,DQB1:02.01,0.723257749768059,1.17984697392013,0.553-2.54,0.441108599707737,0.291967660447058,0.379020023516539,18,0.0744,16,0.0637,224,235,18,466,16,486,0.0372,0.0319,0.0689655172413793,493
DRB5,01.03,DRB5:01.03,0.48599015104632,1.47503072190942,0.53-4.3,0.445965848979045,0.367931575356507,0.482749886444011,11,0.0455,8,0.0312,231,248,11,473,8,504,0.0227,0.0156,0.0381526104417671,498
A,32.01,A:32.01,0.611689982339812,2.14929264628142,0.111-127,0.456881871431879,0.918719029117644,1.23485220935983,2,0.0084,1,0.00392,236,254,2,474,1,509,0.0042,0.00196,0.00608519269776876,493
B,40.02,B:40.02,0.718371176396249,1.21646013040241,0.562-2.67,0.461619149528989,0.273827854450144,0.371956076325231,18,0.0783,15,0.0652,212,215,19,441,15,445,0.0413,0.0326,0.0717391304347826,460
A,02.03,A:02.03,0.43966044659918,1.30712739577409,0.68-2.53,0.464807517451898,0.232033233347332,0.317439089227217,25,0.105,21,0.0824,213,234,26,450,21,489,0.0546,0.0412,0.0933062880324544,493
B,44.03,B:44.03,0.724155965854378,1.67960926911821,0.322-10.9,0.465144127034078,0.545184553318767,0.746416497165255,5,0.0217,3,0.013,225,227,5,455,3,457,0.0109,0.00652,0.0173913043478261,460
B,15.02,B:15.02,0.346468707118144,1.41430333237404,0.728-2.79,0.46926510354687,0.240628326083731,0.332508692353042,26,0.113,19,0.0826,204,211,26,434,19,441,0.0565,0.0413,0.0978260869565217,460
B,35.05,B:35.05,1,0.498546587189259,0.00841-9.64,0.476465748596419,-0.884078514763031,1.24168604627786,1,0.00435,2,0.0087,229,228,1,459,2,458,0.00217,0.00435,0.00652173913043478,460
C,12.03,C:12.03,0.450433235343648,0.628664270197602,0.185-1.94,0.493403774971254,-0.366698928469746,0.535401037066167,6,0.0249,10,0.0391,235,246,6,476,10,502,0.0124,0.0195,0.0321931589537223,497
DPB1,17.01,DPB1:17.01,0.421176588901832,0.58703800000453,0.152-1.98,0.496756410001301,-0.391898231482021,0.576658318906139,5,0.0209,9,0.0352,234,247,5,473,9,503,0.0105,0.0176,0.0282828282828283,495
C,05.01,C:05.01,0.624171710543934,0.352090629650927,0.00667-4.42,0.506083968527251,-0.777873361964245,1.16982644643839,1,0.00415,3,0.0117,240,253,1,481,3,509,0.00207,0.00586,0.00804828973843059,497
DRB1,15.02,DRB1:15.02,0.679206033730229,0.861924879611537,0.48-1.54,0.512678598415497,-0.187803686984741,0.286866594978467,27,0.115,33,0.131,207,218,28,440,33,469,0.0598,0.0657,0.123711340206186,485
DRB1,16.02,DRB1:16.02,0.757927876082564,0.891479152685861,0.46-1.71,0.512728181229906,-0.212056904786018,0.323951026559241,21,0.0897,25,0.0996,213,226,22,446,26,476,0.047,0.0518,0.0948453608247423,485
C,03.04,C:03.04,0.594293492310307,1.13164414977031,0.729-1.76,0.513400565010594,0.142240365476511,0.217642046944642,58,0.241,56,0.219,183,200,63,419,60,452,0.131,0.117,0.229376257545272,497
DRB4,01.02,DRB4:01.02,0.612669269905138,2.13735911269139,0.111-127,0.516998452099166,0.800182875708003,1.23488989854831,2,0.0082,1,0.00385,242,259,2,486,1,519,0.0041,0.00192,0.00595238095238095,504
DRB1,08.03,DRB1:08.03,0.691501037840125,0.878503274419951,0.502-1.53,0.52770391093882,-0.170872591691797,0.270575709468257,30,0.128,36,0.143,204,215,30,438,38,464,0.0641,0.0757,0.136082474226804,485
DPB1,04.01,DPB1:04.01,1,1.0369992110896,0.568-1.89,0.547656512300599,0.177435633424592,0.295098730411724,27,0.113,28,0.109,212,228,29,449,29,483,0.0607,0.0566,0.111111111111111,495
DQA1,01.03,DQA1:01.03,0.612488320061335,0.875005621027105,0.512-1.49,0.548072343520039,-0.156520216135823,0.260584215896179,33,0.138,39,0.154,207,214,33,447,41,465,0.0688,0.081,0.14604462474645,493
DRB1,14.04,DRB1:14.04,0.490969582031682,1.80277136791904,0.346-11.7,0.549843008743894,0.445869720043973,0.745607285779981,5,0.0214,3,0.012,229,248,5,463,3,499,0.0107,0.00598,0.0164948453608247,485
DPB1,01.01,DPB1:01.01,1,0.534265847736277,0.00901-10.3,0.561550938592379,-0.717390989321384,1.23573182847437,1,0.00418,2,0.00781,238,254,1,477,2,510,0.00209,0.00391,0.00606060606060606,495
DRB1,15.01,DRB1:15.01,0.557897193745414,1.15137867264074,0.706-1.88,0.573554951034971,0.135109045952523,0.240055722164874,45,0.192,43,0.171,189,208,48,420,46,456,0.103,0.0916,0.181443298969072,485
DRB5,02.02,DRB5:02.02,0.745634696967646,1.32835059164993,0.282-6.78,0.574004868419621,0.386742014900778,0.687953341643858,5,0.0207,4,0.0156,237,252,5,479,4,508,0.0103,0.00781,0.0180722891566265,498
DRB5,01.01,DRB5:01.01,0.834146982963549,0.943967209597842,0.612-1.45,0.576345967496027,-0.120902831235494,0.216388631959173,57,0.236,63,0.246,185,193,65,419,69,443,0.134,0.135,0.240963855421687,498
DRB1,12.01,DRB1:12.01,0.843351155324468,1.16466601401937,0.495-2.76,0.586173257314184,0.222979577218301,0.409595428910091,14,0.0598,13,0.0518,220,238,15,453,13,489,0.0321,0.0259,0.0556701030927835,485
B,18.02,B:18.02,1,2.00583059977979,0.104-119,0.599490565111552,0.649953854128699,1.23769320922864,2,0.0087,1,0.00435,228,229,2,458,1,459,0.00435,0.00217,0.00652173913043478,460
DQA1,04.01,DQA1:04.01,0.577669312413281,0.652155209511691,0.165-2.3,0.603574855189919,-0.308776145892625,0.594638972920359,5,0.0208,8,0.0316,235,245,5,475,8,498,0.0104,0.0158,0.026369168356998,493
DPB1,02.02,DPB1:02.02,0.459396708465734,1.22512548508255,0.734-2.05,0.630375874597322,0.122783039917161,0.255161229059331,41,0.172,37,0.145,198,219,44,434,39,473,0.0921,0.0762,0.157575757575758,495
DQA1,05.03,DQA1:05.03,1,0.788354413876767,0.114-4.71,0.631663025794412,-0.371077122893411,0.7740651726679,3,0.0125,4,0.0158,237,249,3,477,4,502,0.00625,0.00791,0.0141987829614604,493
