HLA,allele,rsid,F.Pval,F.OR,F.CI,glm.P,glm.E,glm.StdE,Case.Car,Case.Freq,Control.Car,Control.Freq,Case.Not,Control.Not,Case.Alleles,Case.Alelles.Not,Control.Alleles,Control.Alelles.Not,Case.Freq.Allele,Control.Freq.Allele,totalFreq,totalN
hap,03.03_03.02_12.01,hap:03.03_03.02_12.01,0.612669269905138,2.13735911269139,0.111-127,0.46714020817136,0.902583832275004,1.24127933341281,2,0.0082,1,0.00385,242,259,2,486,1,519,0.0041,0.00192,0.00595238095238095,504
B,56.01,B:56.01,0.611857286252099,2.14705676821831,0.111-127,0.46965699867942,0.890787712626867,1.23200804885448,2,0.00877,1,0.0041,226,243,2,454,1,487,0.00439,0.00205,0.00635593220338983,472
hap,05.02_01.01_15.02,hap:05.02_01.01_15.02,0.612669269905138,2.13735911269139,0.111-127,0.472244112848683,0.893734992689428,1.24331462125342,2,0.0082,1,0.00385,242,259,2,486,1,519,0.0041,0.00192,0.00595238095238095,504
DQB1,03.03,DQB1:03.03,0.769301225510851,0.927438460187466,0.62-1.39,0.486067040953382,-0.139115150092775,0.199712288061059,70,0.289,79,0.305,172,180,75,409,86,432,0.155,0.166,0.297405189620759,501
B,08.01,B:08.01,0.624271232320795,0.354627274849482,0.00672-4.45,0.490133548005816,-0.809600562053816,1.17317019292726,1,0.00439,3,0.0123,227,241,1,455,3,485,0.00219,0.00615,0.00847457627118644,472
DPB1,17.01,DPB1:17.01,0.420302323774767,0.581738510481569,0.151-1.97,0.498623158803837,-0.390190592970276,0.57664398304704,5,0.0205,9,0.0347,239,250,5,483,9,509,0.0102,0.0174,0.0278330019880716,503
hap,06.01_01.03_08.03,hap:06.01_01.03_08.03,0.69214615445075,0.872510975917511,0.5-1.51,0.498777087631628,-0.182653807088048,0.270032096947146,30,0.123,36,0.138,214,224,30,458,38,482,0.0615,0.0731,0.130952380952381,504
C,12.03,C:12.03,0.451402225266546,0.633619923486628,0.186-1.96,0.500006870715347,-0.36091624875136,0.535103807615118,6,0.0248,10,0.0386,236,249,6,478,10,508,0.0124,0.0193,0.031936127744511,501
hap,05.02_01.02_16.02,hap:05.02_01.02_16.02,0.747863502166648,0.870385141682059,0.435-1.72,0.506269821042552,-0.223096952812778,0.335657203558696,19,0.0779,23,0.0885,225,237,20,468,23,497,0.041,0.0442,0.0833333333333333,504
A,24.02,A:24.02,0.516758051599692,0.880826235871264,0.602-1.29,0.511134445037414,-0.129862954110775,0.197638766794959,85,0.353,99,0.382,156,160,101,381,110,408,0.21,0.212,0.368,500
DRB1,11.01,DRB1:11.01,0.421057239718479,1.33021210654989,0.672-2.66,0.522103598435136,0.212038390341047,0.331255049063258,23,0.0983,19,0.0757,211,232,24,444,19,483,0.0513,0.0378,0.0865979381443299,485
B,15.02,B:15.02,0.348073929414754,1.37835998799574,0.711-2.7,0.528185262737532,0.208223384475934,0.330105312407413,25,0.11,20,0.082,203,224,25,431,20,468,0.0548,0.041,0.0953389830508475,472
