sample.id,DRB1.1,DRB1.2,DRB1.prob,matching
HG00403,12:02,15:01,0.958856510605515,1.0047501653325e-06
HG00404,11:01,12:01,0.418174020135518,8.37745194202135e-08
HG00406,01:01,14:54,0.8762314646648,6.41306179929324e-06
HG00407,14:54,15:01,0.571375522307378,6.37085768391198e-06
HG00409,04:03,08:03,0.515498495240464,4.31877253312573e-05
HG00410,09:01,12:02,0.913936565342945,7.70579873866572e-07
HG00419,08:03,09:01,0.624192410134655,2.88539088275393e-09
HG00421,07:01,09:01,0.999070777805464,0.000119766559355707
HG00422,04:03,08:03,0.728713655488927,5.20341327746213e-05
HG00428,07:01,11:01,0.814374067018388,0.000433070751950576
HG00436,09:01,14:05,0.493055433703682,6.70920039292534e-06
HG00437,04:05,08:03,0.763013485877985,8.18657950911039e-08
HG00442,04:06,14:54,0.686413806801128,1.69940210538407e-06
HG00443,11:01,15:01,0.818247936021692,3.02684887499194e-05
HG00445,01:01,16:02,0.965915084705107,2.96552579460162e-05
HG00446,11:01,16:01,0.433728982189754,1.16511218934686e-05
HG00448,13:12,14:54,0.531960383620689,1.93607985129041e-06
HG00449,08:03,14:54,0.942030326038203,1.09111136639203e-05
HG00451,11:01,12:02,0.848888871522219,7.65179496744186e-06
HG00452,01:01,11:01,0.793942387434563,0.000491047458312502
HG00457,09:01,15:01,0.932314335658362,9.39035189183721e-08
HG00458,04:06,09:01,0.91923445067086,7.55561799324165e-05
HG00463,09:01,12:02,0.999948732620595,5.00392676078288e-05
HG00464,04:06,08:03,0.768014021592498,6.12705250530502e-05
HG00472,04:07,14:05,0.285759766443593,4.48142073353997e-06
HG00473,03:01,09:01,0.999999920144215,2.1249223077329e-05
HG00475,14:54,15:01,0.944420295878494,7.02126138726704e-06
HG00476,09:01,13:12,0.608617796297981,3.38468992582726e-06
HG00478,09:01,16:02,0.54187029953925,6.08860773484012e-07
HG00479,09:01,15:01,0.999015595996299,4.40357312623149e-05
HG00500,09:01,12:01,0.538065406487716,2.97329063136237e-13
