sample.id,DRB3.1,DRB3.2,DRB3.prob,matching
HG00403,00:00,03:01,0.854173578693909,1.40125226022701e-06
HG00404,01:01,02:02,0.657651006214796,4.17940677453232e-06
HG00406,00:00,02:02,0.982982566636531,2.36847287683643e-05
HG00407,00:00,02:02,0.965359273226411,0.0001191200564414
HG00409,00:00,00:00,0.999999990229607,0.000112872701608967
HG00410,00:00,02:02,0.604853810503794,3.76253556805055e-07
HG00419,00:00,00:00,0.63158594925385,1.53943298159654e-06
HG00421,00:00,00:00,0.999958224160116,0.0001430141780305
HG00422,00:00,00:00,0.999999978759821,6.60990001468395e-05
HG00428,00:00,02:02,0.999907707161868,0.000576720350521833
HG00436,00:00,02:02,0.98409949424691,3.17174973200939e-05
HG00437,00:00,00:00,0.729218158390499,4.94312478195113e-06
HG00442,00:00,02:02,0.942299317137712,0.000104351651923941
HG00443,00:00,02:02,0.998718789663994,0.00016478143870035
HG00445,00:00,00:00,0.995236525214787,1.68712175832825e-05
HG00446,00:00,02:02,0.984815201886029,4.03097458138446e-05
HG00448,02:02,02:02,0.860322957459091,1.07175667485458e-05
HG00449,00:00,02:02,0.95185114521646,5.6921845872284e-05
HG00451,02:02,03:01,0.812688024434448,6.85937082812233e-06
HG00452,00:00,02:02,0.988243509644408,0.000683093817535453
HG00457,00:00,00:00,0.966709049193975,2.99948057535469e-06
HG00458,00:00,00:00,0.999999996953942,0.000127222755424516
HG00463,00:00,03:01,0.999999644931906,5.01506187492236e-05
HG00464,00:00,00:00,0.999999981252596,0.000130058430334505
HG00472,00:00,02:02,0.990136337781582,4.83957726137878e-05
HG00473,00:00,02:02,0.990031747881811,1.51592247949739e-05
HG00475,00:00,02:02,0.977146991077246,8.7091236484459e-05
HG00476,00:00,02:02,0.994013352206069,1.2283987263057e-05
HG00478,00:00,00:00,0.961549862560249,4.0792117724035e-06
HG00479,00:00,00:00,0.999967696371152,6.97928327579409e-05
HG00500,00:00,01:01,0.483848060864881,1.4144511272937e-14
HG00513,00:00,02:02,0.842737529627379,5.20451379981031e-06
HG00524,00:00,00:00,0.99992796276001,7.33625451274245e-05
HG00525,00:00,00:00,0.989290186760303,1.52903168757074e-05
HG00530,00:00,00:00,0.999999997082373,0.000140018911576909
HG00531,00:00,03:01,0.865032241878614,7.69909534899802e-06
HG00533,00:00,00:00,0.978511310215356,3.47892827873823e-05
HG00534,00:00,00:00,0.999999974361803,5.71951793492456e-05
HG00536,00:00,03:01,0.998534745674939,2.52756537061305e-05
HG00537,00:00,00:00,0.999999995609648,2.31185077660525e-05
HG00542,00:00,03:01,0.999999294561603,1.92612025146802e-05
HG00543,00:00,00:00,0.999967801585461,0.00011147836247814
HG00556,00:00,03:01,0.650608834200873,2.80322943022112e-07
HG00557,00:00,02:02,0.944266648038415,5.74622102466908e-05
HG00559,00:00,02:02,0.991370624819496,1.72601067135952e-05
HG00560,00:00,00:00,0.999745109543019,0.000116916530362108
HG00565,00:00,00:00,0.980513899120802,7.88708515484836e-05
HG00566,00:00,02:02,0.999999946693608,4.07025450218354e-05
HG00580,00:00,00:00,0.999810087100479,0.000212338016934618
HG00581,00:00,01:01,0.572395228887123,8.09780429964338e-07
HG00583,00:00,02:02,0.986050758897854,2.61981329121426e-06
HG00584,00:00,02:02,0.992864858083303,0.000460153007100948
HG00589,00:00,02:02,0.99246018763857,0.000261109225662944
HG00590,00:00,02:02,0.980785003054057,0.000237582966797594
HG00592,00:00,02:02,0.999774745087215,4.22927960227357e-05
HG00593,00:00,00:00,0.984524508686347,4.12653082157347e-06
HG00595,00:00,02:02,0.776268721919491,6.87625808210768e-08
HG00596,00:00,02:02,0.994581105586857,9.28048219568803e-05
HG00598,00:00,02:02,0.999998817522156,3.71952743718917e-05
HG00599,00:00,02:02,0.538005080128402,1.24943188615818e-06
HG00607,00:00,00:00,0.99999998735698,0.000197452614897178
HG00608,00:00,03:01,0.979232924065255,3.84928554193156e-06
HG00610,01:01,01:01,0.995542537381803,4.55614191857782e-07
HG00611,00:00,02:02,0.981190490977922,5.19299457723615e-05
HG00613,00:00,00:00,0.999999074321334,1.44702081670921e-05
HG00614,00:00,03:01,0.987391126866604,7.56753247413172e-06
HG00619,00:00,02:02,0.984950505332477,2.75694968110192e-05
HG00620,02:02,03:01,0.94172160388189,1.65168586273238e-05
HG00622,00:00,02:02,0.989671823253807,0.000281762633011018
HG00623,01:01,02:02,0.515251732565556,2.40257588211108e-06
HG00625,00:00,00:00,0.989078077586512,3.55965134927663e-05
HG00626,00:00,00:00,0.999999808033181,6.60938910641145e-05
HG00628,00:00,00:00,0.999843890957347,4.17545929912336e-05
HG00629,00:00,03:01,0.999909596147898,3.76574135711223e-05
HG00631,00:00,03:01,0.955705566832804,7.51042930893188e-06
HG00632,00:00,00:00,0.999999982399409,7.92136197364203e-05
HG00634,00:00,00:00,0.957891960851838,1.6142657906622e-05
HG00650,02:02,03:01,0.994315406462592,6.53062761428592e-05
HG00651,00:00,00:00,0.999999984949647,0.000164410272960092
HG00653,00:00,02:02,0.997335365249867,4.35543672992787e-05
HG00654,00:00,00:00,0.999418159181325,7.86631678283924e-05
